"id","ubigeo","codigo","codigo_departamento","nombre","latitud","longitud","departamento_id"
102,"1104","04","11", PALPA ,-14.490530,-75.135490,11
103,"1105","05","11", PISCO ,-13.763390,-76.000670,11
104,"1201","01","12", HUANCAYO ,-11.958720,-74.981680,12
105,"1202","02","12", CONCEPCIÓN ,-11.749050,-75.077810,12
106,"1203","03","12", CHANCHAMAYO ,-11.022080,-75.017390,12
107,"1204","04","12", JAUJA ,-11.711400,-75.456840,12
108,"1205","05","12", JUNÍN ,-11.005900,-75.871580,12
109,"1206","06","12", SATIPO ,-11.501550,-73.990170,12
110,"1207","07","12", TARMA ,-11.296930,-75.635370,12
111,"1208","08","12", YAULI ,-11.496170,-76.041870,12
112,"1209","09","12", CHUPACA ,-12.232650,-75.374450,12
113,"1301","01","13", TRUJILLO ,-8.056510,-78.865350,13
114,"1302","02","13", ASCOPE ,-7.738200,-79.063110,13
115,"1303","03","13", BOLÍVAR ,-7.204450,-77.681570,13
116,"1304","04","13", CHEPÉN ,-7.119970,-79.414670,13
117,"1305","05","13", JULCÁN ,-8.170710,-78.436880,13
118,"1306","06","13", OTUZCO ,-7.855210,-78.480830,13
119,"1307","07","13", PACASMAYO ,-7.411490,-79.365230,13
120,"1308","08","13", PATAZ ,-8.061940,-77.428890,13
121,"1309","09","13", SÁNCHEZ CARRIÓN ,-7.806240,-77.873840,13
122,"1310","10","13", SANTIAGO DE CHUCO ,-8.151680,-77.997430,13
123,"1311","11","13", GRAN CHIMÚ ,-7.607550,-78.535760,13
124,"1312","12","13", VIRÚ ,-8.466930,-78.552240,13
125,"1401","01","14", CHICLAYO ,-6.773710,-79.455870,14
126,"1402","02","14", FERREÑAFE ,-6.446310,-79.508050,14
127,"1403","03","14", LAMBAYEQUE ,-6.107780,-79.760740,14
128,"1501","01","15", LIMA ,-12.076920,-76.805410,15
129,"1502","02","15", BARRANCA ,-10.703790,-77.634880,15
130,"1503","03","15", CAJATAMBO ,-10.509410,-76.953730,15
131,"1504","04","15", CANTA ,-11.506930,-76.646110,15
132,"1505","05","15", CAÑETE ,-12.806440,-76.311030,15
133,"1506","06","15", HUARAL ,-11.340020,-76.904290,15
134,"1507","07","15", HUAROCHIRÍ ,-11.861970,-76.305540,15
135,"1508","08","15", HUAURA ,-11.119130,-77.200930,15
136,"1509","09","15", OYÓN ,-10.714580,-76.766960,15
137,"1510","10","15", YAUYOS ,-12.543830,-75.833120,15
138,"1601","01","16", MAYNAS ,-2.613830,-74.091790,16
139,"1602","02","16", ALTO AMAZONAS ,-5.430080,-75.860590,16
140,"1603","03","16", LORETO ,-3.623070,-75.223380,16
141,"1604","04","16", MARISCAL RAMÓN CASTILLA ,-3.984820,-71.004640,16
142,"1605","05","16", REQUENA ,-5.539440,-73.564450,16
143,"1606","06","16", UCAYALI ,-7.493190,-75.322260,16
144,"1607","07","16", DATEM DEL MARAÑÓN ,-4.302590,-76.893310,16
145,"1608","08","16", PUTUMAYO,-2.701640,-71.158440,16
146,"1701","01","17", TAMBOPATA ,-12.168220,-69.439080,17
147,"1702","02","17", MANU ,-12.211180,-71.059570,17
148,"1703","03","17", TAHUAMANU ,-11.269990,-69.927970,17
149,"1801","01","18", MARISCAL NIETO ,-16.920190,-70.729980,18
150,"1802","02","18", GENERAL SÁNCHEZ CERRO ,-16.486130,-70.702510,18
151,"1803","03","18", ILO ,-17.612620,-71.147460,18
152,"1901","01","19", PASCO ,-10.711880,-76.066580,19
153,"1902","02","19", DANIEL ALCIDES CARRIÓN ,-10.482410,-76.333000,19
154,"1903","03","19", OXAPAMPA ,-10.252760,-74.855340,19
155,"2001","01","20", PIURA ,-5.246860,-80.592950,20
156,"2002","02","20", AYABACA ,-4.716040,-79.793700,20
157,"2003","03","20", HUANCABAMBA ,-5.438280,-79.519040,20
158,"2004","04","20", MORROPÓN ,-5.252330,-80.005180,20
159,"2005","05","20", PAITA ,-5.101880,-80.996700,20
160,"2006","06","20", SULLANA ,-4.590110,-80.667110,20
161,"2007","07","20", TALARA ,-4.472380,-81.095580,20
162,"2008","08","20", SECHURA ,-5.878330,-80.694580,20
163,"2101","01","21", PUNO ,-16.014130,-70.059810,21
164,"2102","02","21", AZÁNGARO ,-14.833300,-70.114740,21
165,"2103","03","21", CARABAYA ,-13.784730,-70.147700,21
166,"2104","04","21", CHUCUITO ,-16.578280,-69.142450,21
167,"2105","05","21", EL COLLAO ,-16.746680,-69.631340,21
168,"2106","06","21", HUANCANÉ ,-15.082730,-69.422600,21
169,"2107","07","21", LAMPA ,-15.374240,-70.526730,21
170,"2108","08","21", MELGAR ,-14.599530,-70.537710,21
171,"2109","09","21", MOHO ,-15.321270,-69.285270,21
172,"2110","10","21", SAN ANTONIO DE PUTINA ,-14.684560,-69.356680,21
173,"2111","11","21", SAN ROMÁN ,-15.855670,-70.488280,21
174,"2112","12","21", SANDIA ,-13.923400,-69.147940,21
175,"2113","13","21", YUNGUYO ,-16.320070,-69.028500,21
176,"2201","01","22", MOYOBAMBA ,-5.812750,-76.931760,22
177,"2202","02","22", BELLAVISTA ,-7.710990,-76.173700,22
178,"2203","03","22", EL DORADO ,-6.631870,-76.613150,22
179,"2204","04","22", HUALLAGA ,-6.757350,-76.832880,22
180,"2205","05","22", LAMAS ,-6.227930,-76.401670,22
181,"2206","06","22", MARISCAL CÁCERES ,-7.278010,-77.052610,22
182,"2207","07","22", PICOTA ,-6.896430,-76.159970,22
183,"2208","08","22", RIOJA ,-5.872860,-77.390440,22
184,"2209","09","22", SAN MARTÍN ,-6.536370,-75.734250,22
185,"2210","10","22", TOCACHE ,-8.219640,-76.530760,22
186,"2301","01","23", TACNA ,-17.973500,-70.268550,23
187,"2302","02","23", CANDARAVE ,-17.146030,-70.249320,23
188,"2303","03","23", JORGE BASADRE ,-17.604760,-70.653070,23
189,"2304","04","23", TARATA ,-17.405680,-69.906000,23
190,"2401","01","24", TUMBES ,-3.814920,-80.429530,24
191,"2402","02","24", CONTRALMIRANTE VILLAR ,-3.977970,-80.673980,24
192,"2403","03","24", ZARUMILLA ,-3.590170,-80.238640,24
193,"2501","01","25", CORONEL PORTILLO ,-8.798230,-73.762190,25
194,"2502","02","25", ATALAYA ,-10.433790,-73.064570,25
195,"2503","03","25", PADRE ABAD ,-8.733070,-75.272820,25
196,"2504","04","25", PURÚS,-10.282490,-71.306760,25
